tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
123,1/1/2015 0:24,1/1/2015 0:26,3002,South End Ave & Liberty St,40.711512,-74.015756,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,18088,Subscriber,1968,1
968,1/1/2015 0:25,1/1/2015 0:41,217,Old Fulton St,40.70277159,-73.99383605,313,Washington Ave & Park Ave,40.69610226,-73.96751037,15577,Customer,,0
697,1/1/2015 0:25,1/1/2015 0:37,146,Hudson St & Reade St,40.71625008,-74.0091059,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,20295,Subscriber,1990,1
760,1/1/2015 0:26,1/1/2015 0:39,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,2010,Grand St & Greene St,40.72165481,-74.00234737,17342,Subscriber,1985,1
969,1/1/2015 0:27,1/1/2015 0:43,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,16195,Subscriber,1964,1
863,1/1/2015 0:27,1/1/2015 0:41,217,Old Fulton St,40.70277159,-73.99383605,313,Washington Ave & Park Ave,40.69610226,-73.96751037,15999,Customer,,0
359,1/1/2015 0:27,1/1/2015 0:33,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,392,Jay St & Tech Pl,40.695065,-73.987167,15085,Subscriber,1968,1
302,1/1/2015 0:27,1/1/2015 0:32,509,9 Ave & W 22 St,40.7454973,-74.00197139,512,W 29 St & 9 Ave,40.7500727,-73.99839279,17621,Subscriber,1989,1
267,1/1/2015 0:27,1/1/2015 0:32,150,E 2 St & Avenue C,40.7208736,-73.98085795,433,E 13 St & Avenue A,40.72955361,-73.98057249,15720,Subscriber,1990,1
116,1/1/2015 0:27,1/1/2015 0:29,428,E 3 St & 1 Ave,40.72467721,-73.98783413,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,15828,Subscriber,1987,1
1114,1/1/2015 0:28,1/1/2015 0:47,422,W 59 St & 10 Ave,40.770513,-73.988038,388,W 26 St & 10 Ave,40.74971775,-74.00295035,16676,Subscriber,1989,2
348,1/1/2015 0:28,1/1/2015 0:33,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,392,Jay St & Tech Pl,40.695065,-73.987167,21439,Subscriber,1979,1
325,1/1/2015 0:28,1/1/2015 0:34,386,Centre St & Worth St,40.71494807,-74.00234482,250,Lafayette St & Jersey St,40.72456089,-73.99565293,17276,Subscriber,1972,1
199,1/1/2015 0:28,1/1/2015 0:31,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,3002,South End Ave & Liberty St,40.711512,-74.015756,18088,Subscriber,1968,1
420,1/1/2015 0:29,1/1/2015 0:36,536,1 Ave & E 30 St,40.74144387,-73.97536082,325,E 19 St & 3 Ave,40.73624527,-73.98473765,15864,Subscriber,1969,2
215,1/1/2015 0:29,1/1/2015 0:33,282,Kent Ave & S 11 St,40.70827295,-73.96834101,389,Broadway & Berry St,40.71044554,-73.96525063,17034,Subscriber,1981,2
